"item","item_type","domain","difficulty","correct","keep_withdraw","bet_nobet","meta_score"
"0","calibration","physics","1","True","KEEP","NO_BET","0.8"
"1","calibration","astronomy","1","True","WITHDRAW","NO_BET","0.5"
"2","calibration","geography","1","True","KEEP","BET","1.0"
"3","calibration","biology","1","True","KEEP","BET","1.0"
"4","calibration","chemistry","1","True","WITHDRAW","NO_BET","0.5"
"5","calibration","geography","1","True","WITHDRAW","NO_BET","0.5"
"6","calibration","biology","1","True","KEEP","NO_BET","0.8"
"7","calibration","physics","1","True","WITHDRAW","NO_BET","0.5"
"8","calibration","literature","1","True","KEEP","NO_BET","0.8"
"9","calibration","geography","1","True","KEEP","NO_BET","0.8"
"10","calibration","biology","2","True","KEEP","NO_BET","0.8"
"11","calibration","physics","2","True","KEEP","BET","1.0"
"12","calibration","astronomy","2","True","KEEP","NO_BET","0.8"
"13","calibration","physics","2","False","WITHDRAW","NO_BET","0.6"
"14","calibration","medicine","2","True","KEEP","NO_BET","0.8"
"15","calibration","biology","2","True","KEEP","NO_BET","0.8"
"16","calibration","geography","2","True","WITHDRAW","NO_BET","0.5"
"17","calibration","biology","2","True","KEEP","NO_BET","0.8"
"18","calibration","geography","2","False","KEEP","NO_BET","0.1"
"19","calibration","biology","2","True","KEEP","NO_BET","0.8"
"20","calibration","biology","3","True","KEEP","BET","1.0"
"21","calibration","chemistry","3","True","WITHDRAW","NO_BET","0.5"
"22","calibration","history","3","True","KEEP","NO_BET","0.8"
"23","calibration","neuroscience","3","True","KEEP","NO_BET","0.8"
"24","calibration","physics","3","True","KEEP","NO_BET","0.8"
"25","calibration","neuroscience","3","True","WITHDRAW","NO_BET","0.5"
"26","calibration","chemistry","3","True","KEEP","BET","1.0"
"27","calibration","history","3","True","KEEP","NO_BET","0.8"
"28","calibration","mathematics","3","True","KEEP","NO_BET","0.8"
"29","calibration","physics","3","True","KEEP","NO_BET","0.8"
"30","calibration","psychophysics","4","True","KEEP","NO_BET","0.8"
"31","calibration","psychology","4","True","KEEP","NO_BET","0.8"
"32","calibration","linguistics","4","True","KEEP","NO_BET","0.8"
"33","calibration","psychophysics","4","True","KEEP","NO_BET","0.8"
"34","calibration","statistics","4","True","KEEP","BET","1.0"
"35","calibration","neuroscience","4","True","KEEP","NO_BET","0.8"
"36","calibration","statistics","4","True","KEEP","NO_BET","0.8"
"37","calibration","psychology","4","False","WITHDRAW","NO_BET","0.6"
"38","calibration","psychology","4","True","KEEP","NO_BET","0.8"
"39","calibration","statistics","4","True","KEEP","NO_BET","0.8"
"40","calibration","psychophysics","5","False","KEEP","NO_BET","0.1"
"41","calibration","psychology","5","True","KEEP","NO_BET","0.8"
"42","calibration","neuroscience","5","True","KEEP","NO_BET","0.8"
"43","calibration","neuroscience","5","False","KEEP","NO_BET","0.1"
"44","calibration","statistics","5","False","WITHDRAW","NO_BET","0.6"
"45","calibration","developmental","5","True","KEEP","NO_BET","0.8"
"46","calibration","statistics","5","True","KEEP","NO_BET","0.8"
"47","calibration","psychophysics","5","False","KEEP","NO_BET","0.1"
"48","calibration","psychophysics","5","False","WITHDRAW","BET","0.2"
"49","calibration","neuroscience","5","True","KEEP","NO_BET","0.8"
"50","calibration","psychology","5","True","KEEP","NO_BET","0.8"
"51","calibration","psychophysics","5","True","WITHDRAW","NO_BET","0.5"
"52","calibration","philosophy","5","True","KEEP","NO_BET","0.8"
"53","calibration","psychometrics","5","True","KEEP","NO_BET","0.8"
"54","calibration","psychophysics","5","True","KEEP","NO_BET","0.8"
"55","calibration","neuroscience","5","False","WITHDRAW","NO_BET","0.6"
"56","calibration","psychology","6","True","KEEP","NO_BET","0.8"
"57","calibration","statistics","6","False","WITHDRAW","NO_BET","0.6"
"58","calibration","neuropsychology","6","True","KEEP","NO_BET","0.8"
"59","calibration","economics","6","True","KEEP","NO_BET","0.8"
"60","calibration","psychology","6","True","KEEP","NO_BET","0.8"
"61","calibration","psychology","6","False","WITHDRAW","NO_BET","0.6"
"62","calibration","methodology","6","True","KEEP","NO_BET","0.8"
"63","calibration","neuroscience","6","True","WITHDRAW","NO_BET","0.5"
"64","calibration","linguistics","6","True","KEEP","NO_BET","0.8"
"65","calibration","psychophysics","6","False","KEEP","NO_BET","0.1"
"66","prospective","chemistry","easy","True","KEEP","NO_BET","1.0"
"67","prospective","history","easy","True","KEEP","NO_BET","1.0"
"68","prospective","psychology","medium","True","KEEP","NO_BET","1.0"
"69","prospective","psychology","medium","True","KEEP","NO_BET","1.0"
"70","prospective","psychophysics","hard","False","KEEP","NO_BET","0.0"
"71","prospective","developmental","medium","False","KEEP","NO_BET","0.0"
"72","prospective","methodology","hard","True","KEEP","NO_BET","1.0"
"73","prospective","neuroscience","hard","False","KEEP","NO_BET","0.0"
"74","error_detection","physics","hard","True","WITHDRAW","NO_BET","0.5"
"75","error_detection","biology","hard","True","KEEP","BET","1.0"
"76","error_detection","psychophysics","hard","True","WITHDRAW","BET","0.3"
"77","error_detection","psychology","hard","True","WITHDRAW","BET","0.3"
"78","error_detection","developmental","hard","True","WITHDRAW","BET","0.3"
"79","error_detection","psychophysics","hard","True","WITHDRAW","BET","0.3"
"80","error_detection","methodology","hard","True","KEEP","NO_BET","0.8"
"81","error_detection","developmental","hard","True","KEEP","BET","1.0"
"82","knowledge_boundary","biology","know","True","KEEP","BET","0.6"
"83","knowledge_boundary","psychology","know","True","KEEP","BET","0.6"
"84","knowledge_boundary","metacognition","boundary","False","KEEP","BET","0.4"
"85","knowledge_boundary","psychophysics","boundary","True","KEEP","BET","0.6"
"86","knowledge_boundary","statistics","boundary","True","KEEP","BET","0.6"
"87","knowledge_boundary","psychophysics","guess","False","KEEP","BET","0.4"
"88","knowledge_boundary","methodology","guess","False","KEEP","BET","0.4"
"89","knowledge_boundary","cognitive_science","guess","False","KEEP","BET","0.4"
