"item","correct","keep_withdraw","bet_nobet","meta_score","answer","item_type","noun","difficulty"
"0","True","WITHDRAW","NO_BET","0.5","A","first_order","blicket","standard"
"1","True","WITHDRAW","BET","0.3","B","first_order","blicket","standard"
"2","True","WITHDRAW","NO_BET","0.5","A","first_order","daxen","standard"
"3","True","WITHDRAW","NO_BET","0.5","B","first_order","daxen","standard"
"4","True","WITHDRAW","NO_BET","0.5","A","first_order","wuglet","standard"
"5","True","WITHDRAW","BET","0.3","B","first_order","wuglet","standard"
"6","True","WITHDRAW","NO_BET","0.5","A","first_order","feptor","standard"
"7","True","WITHDRAW","BET","0.3","B","first_order","feptor","standard"
"8","True","WITHDRAW","NO_BET","0.5","A","first_order","grillo","standard"
"9","True","WITHDRAW","BET","0.3","B","first_order","grillo","standard"
"10","True","WITHDRAW","BET","0.3","A","first_order","hantic","standard"
"11","True","WITHDRAW","NO_BET","0.5","B","first_order","hantic","standard"
"12","True","WITHDRAW","NO_BET","0.5","A","first_order","jivvel","standard"
"13","True","KEEP","NO_BET","0.8","B","first_order","jivvel","standard"
"14","True","WITHDRAW","BET","0.3","A","first_order","klombo","standard"
"15","True","WITHDRAW","NO_BET","0.5","B","first_order","klombo","standard"
"16","True","WITHDRAW","BET","0.3","A","second_order","zambit","standard"
"17","True","WITHDRAW","BET","0.3","B","second_order","zambit","standard"
"18","True","WITHDRAW","NO_BET","0.5","A","second_order","qorfel","standard"
"19","True","WITHDRAW","BET","0.3","B","second_order","qorfel","standard"
"20","True","WITHDRAW","BET","0.3","A","second_order","vexlan","standard"
"21","True","WITHDRAW","BET","0.3","B","second_order","vexlan","standard"
"22","True","WITHDRAW","BET","0.3","A","second_order","nerbit","standard"
"23","True","WITHDRAW","BET","0.3","B","second_order","nerbit","standard"
"24","True","WITHDRAW","BET","0.3","A","second_order","pilzon","standard"
"25","True","WITHDRAW","NO_BET","0.5","B","second_order","pilzon","standard"
"26","True","WITHDRAW","BET","0.3","A","second_order","trowka","standard"
"27","True","WITHDRAW","BET","0.3","B","second_order","trowka","standard"
"28","True","WITHDRAW","NO_BET","0.5","A","second_order","ulshen","standard"
"29","True","WITHDRAW","NO_BET","0.5","B","second_order","ulshen","standard"
"30","True","WITHDRAW","BET","0.3","A","second_order","yimbex","standard"
"31","True","WITHDRAW","BET","0.3","B","second_order","yimbex","standard"
"32","True","WITHDRAW","BET","0.3","A","second_order_reduced","dremko","reduced_exemplar"
