"item","correct","keep_withdraw","bet_nobet","meta_score","answer","item_type","subtype","ratio"
"0","True","WITHDRAW","NO_BET","0.5","A","format_flexibility","arabic","1.11"
"1","True","KEEP","NO_BET","0.8","B","format_flexibility","arabic","1.28"
"2","True","KEEP","NO_BET","0.8","A","format_flexibility","arabic","2.53"
"3","True","WITHDRAW","NO_BET","0.5","B","format_flexibility","arabic","4.5"
"4","True","WITHDRAW","NO_BET","0.5","A","format_flexibility","words","1.11"
"5","True","WITHDRAW","NO_BET","0.5","B","format_flexibility","words","1.28"
"6","True","KEEP","NO_BET","0.8","A","format_flexibility","words","2.53"
"7","True","WITHDRAW","NO_BET","0.5","B","format_flexibility","words","4.5"
"8","True","WITHDRAW","NO_BET","0.5","A","format_flexibility","expression","1.29"
"9","False","WITHDRAW","NO_BET","0.6","B","format_flexibility","expression","1.2"
"10","False","KEEP","NO_BET","0.1","A","format_flexibility","expression","3.08"
"11","True","WITHDRAW","NO_BET","0.5","B","format_flexibility","expression","2.88"
"12","True","WITHDRAW","NO_BET","0.5","A","format_flexibility","mixed_units","1.33"
"13","True","WITHDRAW","NO_BET","0.5","B","format_flexibility","mixed_units","1.5"
"14","False","KEEP","NO_BET","0.1","A","format_flexibility","mixed_units","1.5"
"15","True","WITHDRAW","NO_BET","0.5","B","format_flexibility","mixed_units","1.2"
"16","True","WITHDRAW","NO_BET","0.5","A","format_flexibility","scientific","1.14"
"17","True","KEEP","NO_BET","0.8","B","format_flexibility","scientific","9.8"
"18","True","KEEP","NO_BET","0.8","A","format_flexibility","scientific","1.53"
"19","True","WITHDRAW","NO_BET","0.5","B","format_flexibility","scientific","2.0"
"20","True","WITHDRAW","NO_BET","0.5","A","inhibitory_control","digit_count","1.002"
"21","True","WITHDRAW","NO_BET","0.5","B","inhibitory_control","digit_count","1.16"
"22","True","KEEP","NO_BET","0.8","A","inhibitory_control","digit_count","1.0002"
"23","True","WITHDRAW","NO_BET","0.5","B","inhibitory_control","leading_digit","1.02"
"24","True","KEEP","NO_BET","0.8","A","inhibitory_control","leading_digit","1.01"
"25","True","KEEP","NO_BET","0.8","B","inhibitory_control","leading_digit","1.003"
"26","True","WITHDRAW","NO_BET","0.5","A","inhibitory_control","word_length","1.001"
"27","True","KEEP","NO_BET","0.8","B","inhibitory_control","word_length","1.05"
