"item","correct","keep_withdraw","bet_nobet","meta_score","answer","item_type","subtype","ratio"
"0","True","WITHDRAW","BET","0.3","A","format_flexibility","arabic","1.11"
"1","False","WITHDRAW","BET","0.2","B","format_flexibility","arabic","1.28"
"2","True","WITHDRAW","BET","0.3","A","format_flexibility","arabic","2.53"
"3","True","WITHDRAW","BET","0.3","B","format_flexibility","arabic","4.5"
"4","True","WITHDRAW","BET","0.3","A","format_flexibility","words","1.11"
"5","False","WITHDRAW","BET","0.2","B","format_flexibility","words","1.28"
"6","True","WITHDRAW","BET","0.3","A","format_flexibility","words","2.53"
"7","True","WITHDRAW","BET","0.3","B","format_flexibility","words","4.5"
"8","True","WITHDRAW","BET","0.3","A","format_flexibility","expression","1.29"
"9","False","WITHDRAW","BET","0.2","B","format_flexibility","expression","1.2"
"10","False","WITHDRAW","BET","0.2","A","format_flexibility","expression","3.08"
"11","False","WITHDRAW","BET","0.2","B","format_flexibility","expression","2.88"
"12","True","WITHDRAW","BET","0.3","A","format_flexibility","mixed_units","1.33"
"13","False","WITHDRAW","BET","0.2","B","format_flexibility","mixed_units","1.5"
"14","True","WITHDRAW","BET","0.3","A","format_flexibility","mixed_units","1.5"
"15","False","WITHDRAW","BET","0.2","B","format_flexibility","mixed_units","1.2"
"16","True","WITHDRAW","BET","0.3","A","format_flexibility","scientific","1.14"
"17","False","WITHDRAW","BET","0.2","B","format_flexibility","scientific","9.8"
"18","True","WITHDRAW","BET","0.3","A","format_flexibility","scientific","1.53"
"19","False","WITHDRAW","BET","0.2","B","format_flexibility","scientific","2.0"
"20","True","WITHDRAW","BET","0.3","A","inhibitory_control","digit_count","1.002"
"21","True","WITHDRAW","BET","0.3","B","inhibitory_control","digit_count","1.16"
"22","True","WITHDRAW","BET","0.3","A","inhibitory_control","digit_count","1.0002"
"23","True","WITHDRAW","BET","0.3","B","inhibitory_control","leading_digit","1.02"
"24","True","WITHDRAW","BET","0.3","A","inhibitory_control","leading_digit","1.01"
"25","True","WITHDRAW","BET","0.3","B","inhibitory_control","leading_digit","1.003"
"26","True","WITHDRAW","BET","0.3","A","inhibitory_control","word_length","1.001"
"27","False","WITHDRAW","BET","0.2","B","inhibitory_control","word_length","1.05"
"28","True","WITHDRAW","BET","0.3","A","inhibitory_control","word_length","1.11"
"29","True","WITHDRAW","BET","0.3","B","inhibitory_control","decimal","1.41"
"30","True","WITHDRAW","BET","0.3","A","inhibitory_control","decimal","1.06"
"31","True","WITHDRAW","BET","0.3","B","inhibitory_control","decimal","10.0"
"32","True","WITHDRAW","BET","0.3","A","inhibitory_control","fraction","1.33"
"33","False","WITHDRAW","BET","0.2","B","inhibitory_control","fraction","1.07"
"34","True","WITHDRAW","BET","0.3","A","inhibitory_control","fraction","1.07"
"35","False","WITHDRAW","BET","0.2","B","inhibitory_control","unit_conversion","1.11"
"36","True","WITHDRAW","BET","0.3","A","inhibitory_control","unit_conversion","1.13"
"37","False","WITHDRAW","BET","0.2","B","inhibitory_control","unit_conversion","1.03"
"38","True","WITHDRAW","BET","0.3","A","inhibitory_control","negative","2.33"
"39","False","WITHDRAW","BET","0.2","B","inhibitory_control","negative","5.0"
"40","True","WITHDRAW","BET","0.3","A","inhibitory_control","fraction_hard","1.03"
"41","False","WITHDRAW","BET","0.2","B","inhibitory_control","fraction_hard","1.01"
"42","True","WITHDRAW","BET","0.3","A","inhibitory_control","fraction_hard","1.016"
"43","False","WITHDRAW","BET","0.2","B","inhibitory_control","fraction_hard","1.003"
"44","True","WITHDRAW","BET","0.3","A","inhibitory_control","exponent","1.024"
"45","True","WITHDRAW","BET","0.3","B","inhibitory_control","exponent","1.944"
"46","False","WITHDRAW","BET","0.2","A","inhibitory_control","exponent","1.266"
"47","True","WITHDRAW","BET","0.3","B","inhibitory_control","multi_step_unit","1.02"
"48","True","WITHDRAW","NO_BET","0.5","A","inhibitory_control","multi_step_unit","1.05"
"49","False","WITHDRAW","BET","0.2","B","inhibitory_control","multi_step_unit","1.003"
"50","True","WITHDRAW","BET","0.3","A","inhibitory_control","multi_step_unit","1.08"
"51","False","WITHDRAW","NO_BET","0.6","B","inhibitory_control","precision","1.001"
"52","True","WITHDRAW","BET","0.3","A","inhibitory_control","precision","1.0005"
"53","True","WITHDRAW","NO_BET","0.5","B","inhibitory_control","algebraic","1.25"
"54","True","WITHDRAW","NO_BET","0.5","A","inhibitory_control","algebraic","1.01"
"55","True","WITHDRAW","BET","0.3","B","inhibitory_control","algebraic","1.034"
"56","True","WITHDRAW","BET","0.3","A","inhibitory_control","conceptual","0.0"
"57","False","KEEP","BET","0.0","B","inhibitory_control","conceptual","1.001"
"58","False","WITHDRAW","BET","0.2","A","inhibitory_control","transcendental","1.339"
"59","False","WITHDRAW","BET","0.2","B","inhibitory_control","factorial","1.143"
"60","True","WITHDRAW","NO_BET","0.5","A","inhibitory_control","factorial","1.0101"
"61","False","WITHDRAW","BET","0.2","B","inhibitory_control","exponent_hard","1.074"
"62","True","WITHDRAW","BET","0.3","A","inhibitory_control","transcendental","1.014"
"63","True","WITHDRAW","BET","0.3","B","task_switching","non_switch","0.0"
"64","True","KEEP","BET","1.0","A","task_switching","non_switch","0.0"
"65","False","KEEP","BET","0.0","B","task_switching","switch","0.0"
"66","True","KEEP","BET","1.0","A","task_switching","non_switch","0.0"
"67","True","WITHDRAW","BET","0.3","B","task_switching","switch","0.0"
"68","True","KEEP","BET","1.0","A","task_switching","non_switch","0.0"
"69","False","KEEP","BET","0.0","B","task_switching","switch","0.0"
"70","False","WITHDRAW","BET","0.2","A","task_switching","non_switch","0.0"
"71","True","WITHDRAW","BET","0.3","B","task_switching","switch","0.0"
"72","False","WITHDRAW","BET","0.2","A","task_switching","non_switch","0.0"
"73","True","KEEP","BET","1.0","B","task_switching","switch","0.0"
"74","False","WITHDRAW","BET","0.2","A","task_switching","non_switch","0.0"
"75","True","WITHDRAW","BET","0.3","B","task_switching","switch","0.0"
"76","False","WITHDRAW","BET","0.2","A","task_switching","non_switch","0.0"
"77","True","WITHDRAW","BET","0.3","B","task_switching","switch","0.0"
"78","True","KEEP","BET","1.0","A","task_switching","non_switch","0.0"
"79","True","WITHDRAW","BET","0.3","B","task_switching","switch","0.0"
"80","False","WITHDRAW","BET","0.2","A","task_switching","switch","0.0"
"81","False","KEEP","BET","0.0","B","task_switching","switch","0.0"
"82","False","WITHDRAW","BET","0.2","A","task_switching","switch","0.0"
"83","True","WITHDRAW","NO_BET","0.5","B","task_switching","switch","0.0"
"84","False","WITHDRAW","BET","0.2","A","task_switching","switch","0.0"
"85","False","KEEP","BET","0.0","B","task_switching","switch","0.0"
"86","True","WITHDRAW","NO_BET","0.5","A","task_switching","switch","0.0"
"87","True","WITHDRAW","NO_BET","0.5","B","task_switching","switch","0.0"
