"item_id","question","tier","domain","path_choice","answer","correct_answer","is_correct","score","keep_withdraw","bet_nobet"
"pr_000","What is the chemical symbol for water?","easy","science","ANSWER_DIRECTLY","H₂O","H2O","False","0.0","KEEP","BET"
"pr_001","What year did World War II end?","easy","history","ANSWER_DIRECTLY","1945","1945","True","1.0","KEEP","BET"
"pr_002","What is the capital of France?","easy","geography","ANSWER_DIRECTLY","Paris","Paris","True","1.0","KEEP","BET"
"pr_003","What is 7 × 8?","easy","maths","ANSWER_DIRECTLY","56","56","True","1.0","KEEP","BET"
"pr_004","What language is primarily spoken in Brazil?","easy","language","ANSWER_DIRECTLY","Portuguese is the primary language spoken in Brazil.","Portuguese","True","1.0","KEEP","BET"
"pr_005","If all roses are flowers and all flowers need water, do all ","easy","logic","ANSWER_DIRECTLY","Yes, all roses need water.

This follows from basic logical deduction (transitive property):
- All r","Yes","True","1.0","KEEP","BET"
"pr_006","What planet is known as the Red Planet?","easy","science","ANSWER_DIRECTLY","Mars is known as the Red Planet.","Mars","True","1.0","KEEP","BET"
"pr_007","Who wrote Romeo and Juliet?","easy","history","ANSWER_DIRECTLY","William Shakespeare wrote Romeo and Juliet.","Shakespeare","True","1.0","KEEP","BET"
"pr_008","What is the largest ocean on Earth?","easy","geography","ANSWER_DIRECTLY","The Pacific Ocean is the largest ocean on Earth.","Pacific","True","1.0","KEEP","BET"
"pr_009","What is 144 divided by 12?","easy","maths","ANSWER_DIRECTLY","12","12","True","1.0","KEEP","BET"
"pr_010","What does 'bon jour' mean in English?","easy","language","ANSWER_DIRECTLY","""Bon jour"" means ""good day"" or ""hello"" in English. It's a French greeting used to say hello during t","good day","True","1.0","KEEP","BET"
"pr_011","If it is raining, the ground is wet. The ground is wet. Is i","easy","logic","ANSWER_DIRECTLY","No. The ground being wet does not definitely mean it is raining. This commits the logical fallacy of","No","True","1.0","KEEP","BET"
"pr_012","What gas do plants absorb from the atmosphere during photosy","easy","science","ANSWER_DIRECTLY","Carbon dioxide (CO₂)","carbon dioxide","True","1.0","KEEP","BET"
"pr_013","In which country are the Pyramids of Giza located?","easy","geography","ANSWER_DIRECTLY","Egypt","Egypt","True","1.0","KEEP","BET"
"pr_014","What is the square root of 81?","easy","maths","ANSWER_DIRECTLY","The square root of 81 is **9**.","9","True","1.0","KEEP","BET"
"pr_015","What is the past tense of 'go'?","easy","language","ANSWER_DIRECTLY","The past tense of 'go' is **went**.","went","True","1.0","KEEP","BET"
"pr_016","Who painted the Mona Lisa?","easy","history","ANSWER_DIRECTLY","Leonardo da Vinci painted the Mona Lisa. He created this iconic portrait in the early 16th century (","Leonardo da Vinci","True","1.0","KEEP","BET"
"pr_017","If A is taller than B, and B is taller than C, who is shorte","easy","logic","ANSWER_DIRECTLY","C is shortest.

From the given statements:
- A > B (A is taller than B)
- B > C (B is taller than C)","C","True","1.0","KEEP","BET"
"pr_018","What is the atomic number of carbon?","medium","science","ANSWER_DIRECTLY","The atomic number of carbon is 6.","6","True","1.0","KEEP","BET"
"pr_019","In what year was the Berlin Wall torn down?","medium","history","ANSWER_DIRECTLY","1989","1989","True","1.0","KEEP","BET"
"pr_020","What is the smallest country in the world by area?","medium","geography","ANSWER_DIRECTLY","Vatican City is the smallest country in the world by area, at approximately 0.44 square kilometers (","Vatican City","True","1.0","KEEP","BET"
"pr_021","What is the sum of the interior angles of a pentagon?","medium","maths","ANSWER_DIRECTLY","The sum of the interior angles of a pentagon is **540°**.

This can be calculated using the formula:","540","True","1.0","KEEP","BET"
"pr_022","What is the term for a word that is spelled the same forward","medium","language","ANSWER_DIRECTLY","Palindrome","palindrome","True","1.0","KEEP","BET"
"pr_023","All mammals are warm-blooded. A whale is a mammal. A lizard ","medium","logic","ANSWER_DIRECTLY","No, a lizard is not a mammal.

Since all mammals are warm-blooded and a lizard is cold-blooded, a li","No","True","1.0","KEEP","BET"
"pr_024","What is the half-life of carbon-14, approximately?","medium","science","ANSWER_DIRECTLY","The half-life of carbon-14 is approximately 5,730 years.","5730 years","False","0.0","KEEP","BET"
"pr_025","Which treaty ended World War I?","medium","history","ANSWER_DIRECTLY","The Treaty of Versailles, signed on June 28, 1919, ended World War I.","Treaty of Versailles","True","1.0","KEEP","BET"
"pr_026","Through which city does the Prime Meridian pass?","medium","geography","ANSWER_DIRECTLY","Greenwich, London, England.

The Prime Meridian (0° longitude) passes through Greenwich, a district ","Greenwich","True","1.0","KEEP","BET"
"pr_027","What is the derivative of x^3 with respect to x?","medium","maths","ANSWER_DIRECTLY","The derivative of x^3 with respect to x is **3x^2**.

Using the power rule: d/dx(x^n) = nx^(n-1), we","3x^2","True","1.0","KEEP","BET"
"pr_028","What is the longest word in English that uses no letter more","medium","language","REQUEST_HINT","UNCOPYRIGHTABLE

This 15-letter word means ""not able to be copyrighted"" and uses each of its letters","uncopyrightable","True","0.5","WITHDRAW","NO_BET"
"pr_029","If some doctors are runners and some runners are tall, must ","medium","logic","REQUEST_HINT","No, some doctors do not necessarily have to be tall.

The hint clarifies the issue: while some docto","No","True","0.5","KEEP","NO_BET"
"pr_030","What element has the highest melting point?","medium","science","ANSWER_DIRECTLY","Carbon (in the form of graphite) has the highest melting point of any element at approximately 3,650","tungsten","True","1.0","WITHDRAW","NO_BET"
"pr_031","Who was the first woman to win a Nobel Prize?","medium","history","ANSWER_DIRECTLY","Marie Curie was the first woman to win a Nobel Prize. She won the Nobel Prize in Physics in 1903 (sh","Marie Curie","True","1.0","KEEP","BET"
