"item","correct","keep_withdraw","bet_nobet","meta_score","answer","item_type","subtype","domain","stimulus_id"
"0","True","KEEP","BET","1.0","A","baseline","no_cue","lexical","bank"
"1","True","KEEP","BET","1.0","B","baseline","no_cue","lexical","star"
"2","True","KEEP","BET","1.0","A","baseline","no_cue","lexical","bat"
"3","True","KEEP","BET","1.0","B","baseline","no_cue","lexical","depression"
"4","True","KEEP","BET","1.0","A","baseline","no_cue","lexical","current"
"5","True","KEEP","BET","1.0","B","baseline","no_cue","lexical","crane"
"6","True","KEEP","BET","1.0","A","baseline","no_cue","referential","referee_pronoun"
"7","True","KEEP","BET","1.0","B","baseline","no_cue","lexical","spring"
"8","True","KEEP","BET","1.0","A","baseline","no_cue","lexical","resolution"
"9","True","KEEP","BET","1.0","B","baseline","no_cue","lexical","operation"
"10","True","KEEP","BET","1.0","A","dorsal_primed","primed_toward_a","lexical","bank"
"11","True","KEEP","BET","1.0","B","dorsal_primed","primed_toward_a","lexical","star"
"12","True","KEEP","BET","1.0","A","dorsal_primed","primed_toward_a","lexical","bat"
"13","True","KEEP","BET","1.0","B","dorsal_primed","primed_toward_a","lexical","depression"
"14","True","KEEP","BET","1.0","A","dorsal_primed","primed_toward_a","lexical","current"
"15","True","KEEP","BET","1.0","B","dorsal_primed","primed_toward_a","lexical","crane"
"16","True","KEEP","BET","1.0","A","dorsal_primed","primed_toward_a","referential","referee_pronoun"
"17","True","KEEP","BET","1.0","B","dorsal_primed","primed_toward_a","lexical","spring"
"18","True","KEEP","BET","1.0","A","dorsal_primed","primed_toward_a","lexical","resolution"
"19","True","KEEP","BET","1.0","B","dorsal_primed","primed_toward_a","lexical","operation"
"20","True","KEEP","BET","1.0","A","dorsal_primed","primed_toward_b","lexical","bank"
"21","True","KEEP","BET","1.0","B","dorsal_primed","primed_toward_b","lexical","star"
"22","True","KEEP","BET","1.0","A","dorsal_primed","primed_toward_b","lexical","bat"
"23","True","KEEP","BET","1.0","B","dorsal_primed","primed_toward_b","lexical","depression"
"24","False","KEEP","BET","0.0","A","dorsal_primed","primed_toward_b","lexical","current"
"25","True","KEEP","BET","1.0","B","dorsal_primed","primed_toward_b","lexical","crane"
"26","True","KEEP","BET","1.0","A","dorsal_primed","primed_toward_b","referential","referee_pronoun"
"27","True","KEEP","BET","1.0","B","dorsal_primed","primed_toward_b","lexical","spring"
"28","True","KEEP","BET","1.0","A","dorsal_primed","primed_toward_b","lexical","resolution"
"29","True","KEEP","BET","1.0","B","dorsal_primed","primed_toward_b","lexical","operation"
"30","True","KEEP","BET","1.0","A","ventral_resistance","misleading_premise","lexical","bank_v"
"31","True","KEEP","BET","1.0","B","ventral_resistance","misleading_premise","lexical","bat_v"
"32","True","KEEP","BET","1.0","A","ventral_resistance","misleading_premise","lexical","crane_v"
"33","True","KEEP","BET","1.0","B","ventral_resistance","misleading_premise","lexical","mouse_v"
"34","True","KEEP","BET","1.0","A","ventral_resistance","misleading_premise","lexical","depression_v"
"35","True","KEEP","BET","1.0","B","ventral_resistance","misleading_premise","lexical","star_v"
"36","True","KEEP","NO_BET","0.8","A","ventral_resistance","misleading_premise","lexical","lock_v"
"37","True","KEEP","NO_BET","0.8","B","ventral_resistance","misleading_premise","lexical","spring_v"
"38","True","KEEP","BET","1.0","A","ventral_resistance","misleading_premise","lexical","current_v"
"39","True","KEEP","BET","1.0","B","ventral_resistance","misleading_premise","lexical","vaccine_v"
"40","True","KEEP","BET","1.0","A","attentional_capture","distractor_resistance","general","capture_40"
"41","True","KEEP","BET","1.0","B","attentional_capture","distractor_resistance","general","capture_41"
"42","True","KEEP","BET","1.0","A","attentional_capture","distractor_resistance","general","capture_42"
"43","True","KEEP","BET","1.0","B","attentional_capture","distractor_resistance","general","capture_43"
"44","True","KEEP","BET","1.0","A","attentional_capture","distractor_resistance","general","capture_44"
"45","True","KEEP","BET","1.0","B","attentional_capture","distractor_resistance","general","capture_45"
"46","True","KEEP","BET","1.0","A","attentional_capture","distractor_resistance","general","capture_46"
"47","True","KEEP","BET","1.0","B","attentional_capture","distractor_resistance","general","capture_47"
"48","True","KEEP","BET","1.0","A","attentional_capture","distractor_resistance","general","capture_48"
"49","True","KEEP","BET","1.0","B","attentional_capture","distractor_resistance","general","capture_49"
"50","True","KEEP","BET","1.0","A","hard_capture","topical_distractor","general","hard_capture_50"
"51","True","KEEP","BET","1.0","B","hard_capture","topical_distractor","general","hard_capture_51"
"52","True","KEEP","BET","1.0","A","hard_capture","topical_distractor","general","hard_capture_52"
"53","True","KEEP","BET","1.0","B","hard_capture","topical_distractor","general","hard_capture_53"
"54","True","KEEP","BET","1.0","A","hard_capture","topical_distractor","general","hard_capture_54"
"55","True","KEEP","BET","1.0","B","inhibition_of_return","interpretation_reversal","lexical","ior_55"
"56","True","KEEP","BET","1.0","A","inhibition_of_return","interpretation_reversal","lexical","ior_56"
"57","False","KEEP","BET","0.0","B","inhibition_of_return","interpretation_reversal","lexical","ior_57"
"58","True","KEEP","BET","1.0","A","inhibition_of_return","interpretation_reversal","lexical","ior_58"
"59","True","KEEP","BET","1.0","B","inhibition_of_return","interpretation_reversal","lexical","ior_59"
