"item","correct","keep_withdraw","bet_nobet","meta_score","answer","item_type","subtype","domain","stimulus_id"
"0","True","KEEP","NO_BET","0.8","A","baseline","no_cue","lexical","bank"
"1","False","KEEP","NO_BET","0.1","B","baseline","no_cue","lexical","star"
"2","True","WITHDRAW","NO_BET","0.5","A","baseline","no_cue","lexical","bat"
"3","True","KEEP","NO_BET","0.8","B","baseline","no_cue","lexical","depression"
"4","True","KEEP","NO_BET","0.8","A","baseline","no_cue","lexical","current"
"5","True","WITHDRAW","NO_BET","0.5","B","baseline","no_cue","lexical","crane"
"6","False","WITHDRAW","NO_BET","0.6","A","baseline","no_cue","referential","referee_pronoun"
"7","True","WITHDRAW","NO_BET","0.5","B","baseline","no_cue","lexical","spring"
"8","False","KEEP","NO_BET","0.1","A","baseline","no_cue","lexical","resolution"
"9","True","KEEP","BET","1.0","B","baseline","no_cue","lexical","operation"
"10","True","KEEP","NO_BET","0.8","A","dorsal_primed","primed_toward_a","lexical","bank"
"11","True","KEEP","NO_BET","0.8","B","dorsal_primed","primed_toward_a","lexical","star"
"12","True","KEEP","NO_BET","0.8","A","dorsal_primed","primed_toward_a","lexical","bat"
"13","True","KEEP","NO_BET","0.8","B","dorsal_primed","primed_toward_a","lexical","depression"
"14","True","KEEP","NO_BET","0.8","A","dorsal_primed","primed_toward_a","lexical","current"
"15","True","WITHDRAW","NO_BET","0.5","B","dorsal_primed","primed_toward_a","lexical","crane"
"16","True","WITHDRAW","NO_BET","0.5","A","dorsal_primed","primed_toward_a","referential","referee_pronoun"
"17","True","KEEP","NO_BET","0.8","B","dorsal_primed","primed_toward_a","lexical","spring"
"18","True","KEEP","NO_BET","0.8","A","dorsal_primed","primed_toward_a","lexical","resolution"
"19","True","KEEP","NO_BET","0.8","B","dorsal_primed","primed_toward_a","lexical","operation"
"20","True","KEEP","NO_BET","0.8","A","dorsal_primed","primed_toward_b","lexical","bank"
"21","True","WITHDRAW","NO_BET","0.5","B","dorsal_primed","primed_toward_b","lexical","star"
"22","True","WITHDRAW","NO_BET","0.5","A","dorsal_primed","primed_toward_b","lexical","bat"
"23","True","KEEP","NO_BET","0.8","B","dorsal_primed","primed_toward_b","lexical","depression"
"24","False","KEEP","BET","0.0","A","dorsal_primed","primed_toward_b","lexical","current"
"25","True","KEEP","NO_BET","0.8","B","dorsal_primed","primed_toward_b","lexical","crane"
"26","True","KEEP","NO_BET","0.8","A","dorsal_primed","primed_toward_b","referential","referee_pronoun"
"27","True","WITHDRAW","NO_BET","0.5","B","dorsal_primed","primed_toward_b","lexical","spring"
"28","True","KEEP","NO_BET","0.8","A","dorsal_primed","primed_toward_b","lexical","resolution"
"29","True","KEEP","NO_BET","0.8","B","dorsal_primed","primed_toward_b","lexical","operation"
"30","True","WITHDRAW","NO_BET","0.5","A","ventral_resistance","misleading_premise","lexical","bank_v"
"31","True","KEEP","NO_BET","0.8","B","ventral_resistance","misleading_premise","lexical","bat_v"
"32","False","KEEP","BET","0.0","A","ventral_resistance","misleading_premise","lexical","crane_v"
"33","True","KEEP","NO_BET","0.8","B","ventral_resistance","misleading_premise","lexical","mouse_v"
"34","True","KEEP","NO_BET","0.8","A","ventral_resistance","misleading_premise","lexical","depression_v"
"35","True","KEEP","NO_BET","0.8","B","ventral_resistance","misleading_premise","lexical","star_v"
"36","True","WITHDRAW","BET","0.3","A","ventral_resistance","misleading_premise","lexical","lock_v"
"37","True","KEEP","NO_BET","0.8","B","ventral_resistance","misleading_premise","lexical","spring_v"
"38","True","WITHDRAW","NO_BET","0.5","A","ventral_resistance","misleading_premise","lexical","current_v"
"39","True","KEEP","NO_BET","0.8","B","ventral_resistance","misleading_premise","lexical","vaccine_v"
"40","True","KEEP","NO_BET","0.8","A","attentional_capture","distractor_resistance","general","capture_40"
"41","True","KEEP","NO_BET","0.8","B","attentional_capture","distractor_resistance","general","capture_41"
"42","True","KEEP","NO_BET","0.8","A","attentional_capture","distractor_resistance","general","capture_42"
"43","True","KEEP","NO_BET","0.8","B","attentional_capture","distractor_resistance","general","capture_43"
"44","True","KEEP","NO_BET","0.8","A","attentional_capture","distractor_resistance","general","capture_44"
"45","True","KEEP","NO_BET","0.8","B","attentional_capture","distractor_resistance","general","capture_45"
"46","True","KEEP","NO_BET","0.8","A","attentional_capture","distractor_resistance","general","capture_46"
"47","True","KEEP","NO_BET","0.8","B","attentional_capture","distractor_resistance","general","capture_47"
"48","True","WITHDRAW","NO_BET","0.5","A","attentional_capture","distractor_resistance","general","capture_48"
"49","True","KEEP","NO_BET","0.8","B","attentional_capture","distractor_resistance","general","capture_49"
"50","True","WITHDRAW","NO_BET","0.5","A","hard_capture","topical_distractor","general","hard_capture_50"
"51","True","KEEP","NO_BET","0.8","B","hard_capture","topical_distractor","general","hard_capture_51"
"52","True","KEEP","NO_BET","0.8","A","hard_capture","topical_distractor","general","hard_capture_52"
"53","True","KEEP","NO_BET","0.8","B","hard_capture","topical_distractor","general","hard_capture_53"
"54","True","KEEP","NO_BET","0.8","A","hard_capture","topical_distractor","general","hard_capture_54"
"55","True","KEEP","NO_BET","0.8","B","inhibition_of_return","interpretation_reversal","lexical","ior_55"
"56","True","WITHDRAW","NO_BET","0.5","A","inhibition_of_return","interpretation_reversal","lexical","ior_56"
"57","False","KEEP","NO_BET","0.1","B","inhibition_of_return","interpretation_reversal","lexical","ior_57"
"58","True","WITHDRAW","NO_BET","0.5","A","inhibition_of_return","interpretation_reversal","lexical","ior_58"
