"item","correct","keep_withdraw","bet_nobet","meta_score","answer","item_type","noun","difficulty"
"0","True","KEEP","BET","1.0","A","first_order","blicket","standard"
"1","True","KEEP","BET","1.0","B","first_order","blicket","standard"
"2","False","WITHDRAW","BET","0.2","A","first_order","daxen","standard"
"3","True","WITHDRAW","BET","0.3","B","first_order","daxen","standard"
"4","True","KEEP","BET","1.0","A","first_order","wuglet","standard"
"5","False","KEEP","BET","0.0","B","first_order","wuglet","standard"
"6","True","KEEP","BET","1.0","A","first_order","feptor","standard"
"7","False","KEEP","BET","0.0","B","first_order","feptor","standard"
"8","False","WITHDRAW","BET","0.2","A","first_order","grillo","standard"
"9","True","WITHDRAW","BET","0.3","B","first_order","grillo","standard"
"10","True","KEEP","BET","1.0","A","first_order","hantic","standard"
"11","False","KEEP","BET","0.0","B","first_order","hantic","standard"
"12","True","WITHDRAW","BET","0.3","A","first_order","jivvel","standard"
"13","True","WITHDRAW","BET","0.3","B","first_order","jivvel","standard"
"14","True","KEEP","BET","1.0","A","first_order","klombo","standard"
"15","True","WITHDRAW","BET","0.3","B","first_order","klombo","standard"
"16","True","KEEP","BET","1.0","A","second_order","zambit","standard"
"17","False","KEEP","BET","0.0","B","second_order","zambit","standard"
"18","True","KEEP","BET","1.0","A","second_order","qorfel","standard"
"19","True","KEEP","BET","1.0","B","second_order","qorfel","standard"
"20","True","KEEP","BET","1.0","A","second_order","vexlan","standard"
"21","True","KEEP","BET","1.0","B","second_order","vexlan","standard"
"22","True","KEEP","BET","1.0","A","second_order","nerbit","standard"
"23","True","KEEP","BET","1.0","B","second_order","nerbit","standard"
"24","True","KEEP","BET","1.0","A","second_order","pilzon","standard"
"25","True","KEEP","BET","1.0","B","second_order","pilzon","standard"
"26","True","KEEP","BET","1.0","A","second_order","trowka","standard"
"27","False","KEEP","BET","0.0","B","second_order","trowka","standard"
"28","True","KEEP","BET","1.0","A","second_order","ulshen","standard"
"29","False","KEEP","BET","0.0","B","second_order","ulshen","standard"
"30","True","KEEP","BET","1.0","A","second_order","yimbex","standard"
"31","True","KEEP","BET","1.0","B","second_order","yimbex","standard"
"32","True","KEEP","BET","1.0","A","second_order_reduced","dremko","reduced_exemplar"
"33","True","KEEP","BET","1.0","B","second_order_reduced","dremko","reduced_exemplar"
"34","True","KEEP","BET","1.0","A","second_order_reduced","falbin","reduced_exemplar"
"35","True","KEEP","BET","1.0","B","second_order_reduced","falbin","reduced_exemplar"
"36","True","KEEP","BET","1.0","A","second_order_reduced","gulvex","reduced_exemplar"
"37","False","KEEP","BET","0.0","B","second_order_reduced","gulvex","reduced_exemplar"
"38","True","KEEP","BET","1.0","A","second_order_reduced","haxori","reduced_exemplar"
"39","False","KEEP","BET","0.0","B","second_order_reduced","haxori","reduced_exemplar"
"40","True","KEEP","BET","1.0","A","second_order_minimal","intova","minimal_prompt"
"41","False","KEEP","BET","0.0","B","second_order_minimal","intova","minimal_prompt"
"42","True","KEEP","BET","1.0","A","second_order_minimal","jexwul","minimal_prompt"
"43","False","KEEP","BET","0.0","B","second_order_minimal","jexwul","minimal_prompt"
"44","True","KEEP","BET","1.0","A","second_order_minimal","kremli","minimal_prompt"
"45","True","KEEP","BET","1.0","B","second_order_minimal","kremli","minimal_prompt"
"46","True","KEEP","BET","1.0","A","second_order_minimal","lufang","minimal_prompt"
"47","False","KEEP","BET","0.0","B","second_order_minimal","lufang","minimal_prompt"
"48","True","KEEP","BET","1.0","A","same_dimension_foil","zambit","same_dimension"
"49","True","WITHDRAW","NO_BET","0.5","B","same_dimension_foil","qorfel","same_dimension"
"50","True","WITHDRAW","NO_BET","0.5","A","same_dimension_foil","vexlan","same_dimension"
"51","True","KEEP","BET","1.0","B","same_dimension_foil","nerbit","same_dimension"
"52","False","WITHDRAW","NO_BET","0.6","A","interference","ralkip","interference"
"53","True","WITHDRAW","NO_BET","0.5","B","interference","ralkip","interference"
"54","False","WITHDRAW","NO_BET","0.6","A","interference","vosken","interference"
"55","False","KEEP","BET","0.0","B","interference","vosken","interference"
"56","False","WITHDRAW","NO_BET","0.6","A","interference","chulba","interference"
"57","False","KEEP","BET","0.0","B","interference","chulba","interference"
"58","False","KEEP","BET","0.0","A","feature_swap","frobnik","feature_swap"
"59","True","WITHDRAW","NO_BET","0.5","B","feature_swap","frobnik","feature_swap"
"60","False","KEEP","BET","0.0","A","feature_swap","galdex","feature_swap"
"61","True","KEEP","BET","1.0","B","feature_swap","galdex","feature_swap"
"62","True","KEEP","BET","1.0","A","feature_swap","helvon","feature_swap"
"63","True","KEEP","BET","1.0","B","feature_swap","helvon","feature_swap"
"64","True","KEEP","BET","1.0","A","scrambled_control","wyvrik","scrambled"
"65","True","KEEP","BET","1.0","B","scrambled_control","wyvrik","scrambled"
"66","False","WITHDRAW","NO_BET","0.6","A","scrambled_control","xalden","scrambled"
"67","True","WITHDRAW","NO_BET","0.5","B","scrambled_control","xalden","scrambled"
"68","False","KEEP","BET","0.0","A","scrambled_control","zophir","scrambled"
"69","True","KEEP","BET","1.0","B","scrambled_control","zophir","scrambled"
"70","True","KEEP","BET","1.0","A","competing_overhypothesis","tib",""
"71","False","KEEP","BET","0.0","B","competing_overhypothesis","zog",""
"72","True","WITHDRAW","NO_BET","0.5","A","competing_overhypothesis","nar",""
"73","False","KEEP","BET","0.0","B","competing_overhypothesis","fep",""
"74","True","WITHDRAW","NO_BET","0.5","A","competing_overhypothesis","wux",""
"75","False","KEEP","BET","0.0","B","competing_overhypothesis","dil",""
"76","True","WITHDRAW","NO_BET","0.5","A","competing_overhypothesis","kav",""
"77","False","WITHDRAW","NO_BET","0.6","B","competing_overhypothesis","jem",""
"78","True","KEEP","BET","1.0","A","minimal_exemplar","piv",""
"79","False","KEEP","BET","0.0","B","minimal_exemplar","sut",""
"80","True","KEEP","BET","1.0","A","minimal_exemplar","gax",""
"81","True","KEEP","NO_BET","0.8","B","minimal_exemplar","rew",""
"82","True","KEEP","NO_BET","0.8","A","minimal_exemplar","mol",""
"83","False","KEEP","BET","0.0","B","minimal_exemplar","hib",""
"84","True","KEEP","NO_BET","0.8","A","minimal_exemplar","yef",""
"85","True","WITHDRAW","BET","0.3","B","minimal_exemplar","cuz",""
"86","True","KEEP","BET","1.0","A","cross_domain_interference","brel",""
"87","False","KEEP","BET","0.0","B","cross_domain_interference","sniv",""
"88","True","KEEP","BET","1.0","A","cross_domain_interference","quap",""
"89","False","KEEP","BET","0.0","B","cross_domain_interference","trog",""
"90","True","KEEP","BET","1.0","A","cross_domain_interference","flim",""
"91","False","KEEP","BET","0.0","B","cross_domain_interference","zarn",""
"92","False","WITHDRAW","BET","0.2","A","adversarial_foil","gleb",""
"93","False","KEEP","BET","0.0","B","adversarial_foil","vorn",""
"94","False","WITHDRAW","NO_BET","0.6","A","adversarial_foil","stip",""
"95","False","KEEP","BET","0.0","B","adversarial_foil","kraz",""
"96","False","WITHDRAW","NO_BET","0.6","A","adversarial_foil","dwel",""
"97","False","KEEP","BET","0.0","B","adversarial_foil","phon",""
