"item","item_type","domain","difficulty","correct","keep_withdraw","bet_nobet","meta_score"
"0","calibration","physics","1","True","WITHDRAW","BET","0.3"
"1","calibration","astronomy","1","True","WITHDRAW","BET","0.3"
"2","calibration","geography","1","True","WITHDRAW","BET","0.3"
"3","calibration","biology","1","True","KEEP","BET","1.0"
"4","calibration","chemistry","1","True","WITHDRAW","NO_BET","0.5"
"5","calibration","geography","1","True","WITHDRAW","BET","0.3"
"6","calibration","biology","1","True","WITHDRAW","BET","0.3"
"7","calibration","physics","1","True","WITHDRAW","BET","0.3"
"8","calibration","literature","1","True","WITHDRAW","NO_BET","0.5"
"9","calibration","geography","1","True","WITHDRAW","BET","0.3"
"10","calibration","biology","2","True","WITHDRAW","BET","0.3"
"11","calibration","physics","2","True","WITHDRAW","BET","0.3"
"12","calibration","astronomy","2","True","WITHDRAW","BET","0.3"
"13","calibration","physics","2","True","WITHDRAW","BET","0.3"
"14","calibration","medicine","2","True","WITHDRAW","BET","0.3"
"15","calibration","biology","2","True","WITHDRAW","BET","0.3"
"16","calibration","geography","2","True","WITHDRAW","BET","0.3"
"17","calibration","biology","2","True","WITHDRAW","BET","0.3"
"18","calibration","geography","2","True","WITHDRAW","BET","0.3"
"19","calibration","biology","2","True","KEEP","BET","1.0"
"20","calibration","biology","3","True","WITHDRAW","BET","0.3"
"21","calibration","chemistry","3","True","WITHDRAW","BET","0.3"
"22","calibration","history","3","True","WITHDRAW","NO_BET","0.5"
"23","calibration","neuroscience","3","True","WITHDRAW","BET","0.3"
"24","calibration","physics","3","True","KEEP","BET","1.0"
"25","calibration","neuroscience","3","True","WITHDRAW","BET","0.3"
"26","calibration","chemistry","3","True","KEEP","NO_BET","0.8"
"27","calibration","history","3","True","KEEP","NO_BET","0.8"
"28","calibration","mathematics","3","True","WITHDRAW","BET","0.3"
"29","calibration","physics","3","True","WITHDRAW","NO_BET","0.5"
"30","calibration","psychophysics","4","True","KEEP","NO_BET","0.8"
"31","calibration","psychology","4","True","WITHDRAW","BET","0.3"
"32","calibration","linguistics","4","True","WITHDRAW","NO_BET","0.5"
"33","calibration","psychophysics","4","True","WITHDRAW","BET","0.3"
"34","calibration","statistics","4","True","WITHDRAW","NO_BET","0.5"
"35","calibration","neuroscience","4","True","WITHDRAW","BET","0.3"
