"item_id","question","tier","domain","path_choice","answer","correct_answer","is_correct","score","keep_withdraw","bet_nobet"
"pr_000","What is the chemical symbol for water?","easy","science","ANSWER_DIRECTLY","H₂O","H2O","False","0.0","KEEP","BET"
"pr_001","What year did World War II end?","easy","history","ANSWER_DIRECTLY","1945","1945","True","1.0","KEEP","BET"
"pr_002","What is the capital of France?","easy","geography","ANSWER_DIRECTLY","Paris","Paris","True","1.0","KEEP","BET"
"pr_003","What is 7 × 8?","easy","maths","ANSWER_DIRECTLY","56","56","True","1.0","KEEP","BET"
"pr_004","What language is primarily spoken in Brazil?","easy","language","ANSWER_DIRECTLY","Portuguese","Portuguese","True","1.0","KEEP","BET"
"pr_005","If all roses are flowers and all flowers need water, do all ","easy","logic","ANSWER_DIRECTLY","Yes, all roses need water.","Yes","True","1.0","KEEP","BET"
"pr_006","What planet is known as the Red Planet?","easy","science","ANSWER_DIRECTLY","Mars","Mars","True","1.0","KEEP","BET"
"pr_007","Who wrote Romeo and Juliet?","easy","history","ANSWER_DIRECTLY","William Shakespeare.","Shakespeare","True","1.0","KEEP","BET"
"pr_008","What is the largest ocean on Earth?","easy","geography","ANSWER_DIRECTLY","The Pacific Ocean","Pacific","True","1.0","KEEP","BET"
"pr_009","What is 144 divided by 12?","easy","maths","ANSWER_DIRECTLY","12","12","True","1.0","KEEP","BET"
"pr_010","What does 'bon jour' mean in English?","easy","language","REQUEST_HINT","Good morning.","good day","False","0.1","WITHDRAW","NO_BET"
"pr_011","If it is raining, the ground is wet. The ground is wet. Is i","easy","logic","REQUEST_HINT","No.","No","True","0.5","WITHDRAW","NO_BET"
"pr_012","What gas do plants absorb from the atmosphere during photosy","easy","science","ANSWER_DIRECTLY","Carbon dioxide","carbon dioxide","True","1.0","KEEP","BET"
"pr_013","In which country are the Pyramids of Giza located?","easy","geography","ANSWER_DIRECTLY","Egypt","Egypt","True","1.0","KEEP","BET"
"pr_014","What is the square root of 81?","easy","maths","ANSWER_DIRECTLY","9","9","True","1.0","KEEP","BET"
"pr_015","What is the past tense of 'go'?","easy","language","ANSWER_DIRECTLY","went","went","True","1.0","KEEP","BET"
"pr_016","Who painted the Mona Lisa?","easy","history","ANSWER_DIRECTLY","Leonardo da Vinci","Leonardo da Vinci","True","1.0","KEEP","BET"
"pr_017","If A is taller than B, and B is taller than C, who is shorte","easy","logic","REQUEST_HINT","C","C","True","0.5","KEEP","BET"
"pr_018","What is the atomic number of carbon?","medium","science","ANSWER_DIRECTLY","6","6","True","1.0","KEEP","BET"
"pr_019","In what year was the Berlin Wall torn down?","medium","history","REQUEST_HINT","1989","1989","True","0.5","KEEP","BET"
"pr_020","What is the smallest country in the world by area?","medium","geography","REQUEST_HINT","Vatican City","Vatican City","True","0.5","KEEP","BET"
"pr_021","What is the sum of the interior angles of a pentagon?","medium","maths","REQUEST_HINT","540°","540","True","0.5","KEEP","BET"
"pr_022","What is the term for a word that is spelled the same forward","medium","language","ANSWER_DIRECTLY","Palindrome","palindrome","True","1.0","KEEP","BET"
"pr_023","All mammals are warm-blooded. A whale is a mammal. A lizard ","medium","logic","REQUEST_HINT","No.","No","True","0.5","KEEP","BET"
"pr_024","What is the half-life of carbon-14, approximately?","medium","science","REQUEST_HINT","Approximately 5730 years.","5730 years","True","0.5","KEEP","BET"
"pr_025","Which treaty ended World War I?","medium","history","ANSWER_DIRECTLY","The Treaty of Versailles","Treaty of Versailles","True","1.0","WITHDRAW","NO_BET"
"pr_026","Through which city does the Prime Meridian pass?","medium","geography","REQUEST_HINT","Greenwich, London.","Greenwich","True","0.5","KEEP","BET"
"pr_027","What is the derivative of x^3 with respect to x?","medium","maths","ANSWER_DIRECTLY","\(3x^2\)","3x^2","True","1.0","KEEP","BET"
"pr_028","What is the longest word in English that uses no letter more","medium","language","REQUEST_HINT","Uncopyrightable","uncopyrightable","True","0.5","KEEP","NO_BET"
"pr_029","If some doctors are runners and some runners are tall, must ","medium","logic","REQUEST_HINT","No","No","True","0.5","WITHDRAW","NO_BET"
"pr_030","What element has the highest melting point?","medium","science","ANSWER_DIRECTLY","Tungsten","tungsten","True","1.0","WITHDRAW","NO_BET"
"pr_031","Who was the first woman to win a Nobel Prize?","medium","history","REQUEST_HINT","Marie Curie","Marie Curie","True","0.5","KEEP","BET"
"pr_032","What is the deepest point in the ocean?","medium","geography","REQUEST_HINT","Challenger Deep","Challenger Deep","True","0.5","KEEP","BET"
"pr_033","What is the integral of 1/x with respect to x?","medium","maths","ANSWER_DIRECTLY","The integral of \( \frac{1}{x} \, dx \) is \( \ln|x| + C \), where \( C \) is the constant of integr","ln(x)","False","0.0","KEEP","NO_BET"
"pr_034","From which language does the English word 'algorithm' origin","medium","language","REQUEST_HINT","Arabic","Arabic","True","0.5","KEEP","NO_BET"
"pr_035","If no A are B, and all B are C, can any A be C?","medium","logic","ANSWER_DIRECTLY","Yes, some A can be C. There is no restriction that prevents an A from being C, since being excluded ","Yes","True","1.0","KEEP","BET"
"pr_036","What is the Chandrasekhar limit in solar masses?","hard","science","REQUEST_HINT","1.44","1.4","True","0.5","KEEP","BET"
"pr_037","In what year was the Edict of Nantes signed?","hard","history","REQUEST_HINT","1598","1598","True","0.5","KEEP","BET"
"pr_038","What is the capital of Burkina Faso?","hard","geography","ANSWER_DIRECTLY","Ouagadougou","Ouagadougou","True","1.0","KEEP","NO_BET"
"pr_039","What is the sum of the first 100 positive integers?","hard","maths","ANSWER_DIRECTLY","5050","5050","True","1.0","KEEP","BET"
