"item","item_type","domain","difficulty","correct","keep_withdraw","bet_nobet","meta_score"
"0","calibration","physics","1","True","KEEP","BET","1.0"
"1","calibration","astronomy","1","True","KEEP","BET","1.0"
"2","calibration","geography","1","True","KEEP","BET","1.0"
"3","calibration","biology","1","True","WITHDRAW","NO_BET","0.5"
"4","calibration","chemistry","1","True","KEEP","BET","1.0"
"5","calibration","geography","1","True","KEEP","NO_BET","0.8"
"6","calibration","biology","1","True","KEEP","BET","1.0"
"7","calibration","physics","1","True","KEEP","BET","1.0"
"8","calibration","literature","1","True","KEEP","BET","1.0"
"9","calibration","geography","1","True","WITHDRAW","NO_BET","0.5"
"10","calibration","biology","2","True","KEEP","BET","1.0"
"11","calibration","physics","2","True","KEEP","BET","1.0"
"12","calibration","astronomy","2","True","KEEP","BET","1.0"
"13","calibration","physics","2","False","KEEP","BET","0.0"
"14","calibration","medicine","2","True","KEEP","BET","1.0"
"15","calibration","biology","2","True","KEEP","BET","1.0"
"16","calibration","geography","2","True","WITHDRAW","NO_BET","0.5"
"17","calibration","biology","2","True","KEEP","BET","1.0"
"18","calibration","geography","2","True","WITHDRAW","NO_BET","0.5"
"19","calibration","biology","2","True","KEEP","BET","1.0"
"20","calibration","biology","3","True","KEEP","BET","1.0"
"21","calibration","chemistry","3","True","KEEP","BET","1.0"
"22","calibration","history","3","True","KEEP","BET","1.0"
"23","calibration","neuroscience","3","True","KEEP","BET","1.0"
"24","calibration","physics","3","True","KEEP","BET","1.0"
"25","calibration","neuroscience","3","True","KEEP","BET","1.0"
"26","calibration","chemistry","3","False","WITHDRAW","NO_BET","0.6"
"27","calibration","history","3","True","WITHDRAW","NO_BET","0.5"
"28","calibration","mathematics","3","True","WITHDRAW","NO_BET","0.5"
"29","calibration","physics","3","True","KEEP","BET","1.0"
"30","calibration","psychophysics","4","True","KEEP","BET","1.0"
"31","calibration","psychology","4","True","WITHDRAW","NO_BET","0.5"
"32","calibration","linguistics","4","True","WITHDRAW","NO_BET","0.5"
"33","calibration","psychophysics","4","True","KEEP","BET","1.0"
"34","calibration","statistics","4","True","KEEP","BET","1.0"
"35","calibration","neuroscience","4","True","KEEP","BET","1.0"
"36","calibration","statistics","4","True","KEEP","BET","1.0"
"37","calibration","psychology","4","False","KEEP","BET","0.0"
"38","calibration","psychology","4","True","KEEP","BET","1.0"
"39","calibration","statistics","4","True","KEEP","BET","1.0"
"40","calibration","psychophysics","5","False","KEEP","BET","0.0"
"41","calibration","psychology","5","True","KEEP","BET","1.0"
"42","calibration","neuroscience","5","True","KEEP","BET","1.0"
"43","calibration","neuroscience","5","False","WITHDRAW","NO_BET","0.6"
"44","calibration","statistics","5","True","KEEP","BET","1.0"
"45","calibration","developmental","5","True","WITHDRAW","NO_BET","0.5"
"46","calibration","statistics","5","True","KEEP","BET","1.0"
"47","calibration","psychophysics","5","False","WITHDRAW","NO_BET","0.6"
"48","calibration","psychophysics","5","False","KEEP","BET","0.0"
"49","calibration","neuroscience","5","True","KEEP","BET","1.0"
"50","calibration","psychology","5","True","WITHDRAW","NO_BET","0.5"
"51","calibration","psychophysics","5","True","KEEP","BET","1.0"
"52","calibration","philosophy","5","True","KEEP","BET","1.0"
