"item","correct","keep_withdraw","bet_nobet","meta_score","answer","item_type","subtype","familiar","novel_label","difficulty"
"0","True","KEEP","BET","1.0","A","basic_me","novel_label_to_novel_object","dog","dax","standard"
"1","True","KEEP","BET","1.0","B","basic_me","familiar_label_control","dog","dog","standard"
"2","True","KEEP","BET","1.0","A","basic_me","novel_label_to_novel_object","cat","blicket","standard"
"3","True","KEEP","BET","1.0","B","basic_me","familiar_label_control","cat","cat","standard"
"4","True","KEEP","BET","1.0","A","basic_me","novel_label_to_novel_object","ball","wug","standard"
"5","True","KEEP","BET","1.0","B","basic_me","familiar_label_control","ball","ball","standard"
"6","True","KEEP","BET","1.0","A","basic_me","novel_label_to_novel_object","cup","fep","standard"
"7","True","KEEP","BET","1.0","B","basic_me","familiar_label_control","cup","cup","standard"
"8","True","KEEP","BET","1.0","A","basic_me","novel_label_to_novel_object","book","toma","standard"
"9","True","KEEP","BET","1.0","B","basic_me","familiar_label_control","book","book","standard"
"10","True","KEEP","BET","1.0","A","basic_me","novel_label_to_novel_object","car","zup","standard"
"11","True","KEEP","BET","1.0","B","basic_me","familiar_label_control","car","car","standard"
"12","True","KEEP","BET","1.0","A","basic_me","novel_label_to_novel_object","hat","mib","standard"
"13","True","KEEP","BET","1.0","B","basic_me","familiar_label_control","hat","hat","standard"
"14","True","KEEP","BET","1.0","A","basic_me","novel_label_to_novel_object","shoe","gorp","standard"
"15","True","KEEP","BET","1.0","B","basic_me","familiar_label_control","shoe","shoe","standard"
"16","True","KEEP","BET","1.0","A","basic_me","novel_label_to_novel_object","chair","neb","standard"
"17","True","KEEP","BET","1.0","B","basic_me","familiar_label_control","chair","chair","standard"
"18","True","KEEP","BET","1.0","A","basic_me","novel_label_to_novel_object","apple","pim","standard"
"19","True","KEEP","BET","1.0","B","basic_me","familiar_label_control","apple","apple","standard"
"20","True","KEEP","BET","1.0","A","context_diagnostic","full_context","dog","dax","standard"
"21","True","KEEP","BET","1.0","B","context_diagnostic","reduced_context","dog","dax","standard"
"22","True","KEEP","BET","1.0","A","context_diagnostic","full_context","cat","blicket","standard"
"23","True","KEEP","BET","1.0","B","context_diagnostic","reduced_context","cat","blicket","standard"
"24","True","KEEP","BET","1.0","A","context_diagnostic","full_context","ball","wug","standard"
"25","True","KEEP","BET","1.0","B","context_diagnostic","reduced_context","ball","wug","standard"
"26","True","KEEP","BET","1.0","A","context_diagnostic","full_context","cup","fep","standard"
"27","True","KEEP","BET","1.0","B","context_diagnostic","reduced_context","cup","fep","standard"
"28","True","KEEP","BET","1.0","A","context_diagnostic","full_context","book","toma","standard"
